A;35;995.0
B;6;0.979
C;78;98.0
A;54;988.0
B;59;0.953
C;35;97.0
A;65;981.0
B;119;0.948
C;184;96.0
A;162;970.0
B;26;0.937
C;53;95.0
A;152;967.0
B;13;0.915
C;232;94.0
A;44;964.0
B;10;0.905
C;245;93.0
A;206;949.0
B;115;0.896
C;147;92.0
A;26;945.0
B;62;0.892
C;191;90.0
A;134;937.0
B;187;0.861
C;166;89.0
A;31;927.0
B;208;0.859
C;19;87.0
A;141;918.0
B;238;0.83
C;189;86.0
A;56;917.0
B;40;0.818
C;76;85.0
A;139;904.0
B;155;0.809
C;142;84.0
A;103;886.0
B;248;0.805
C;108;83.0
A;87;877.0
B;54;0.794
C;28;82.0
A;88;875.0
B;199;0.785
C;164;80.0
A;216;866.0
B;160;0.781
C;205;79.0
A;107;848.0
B;43;0.762
C;51;78.0
A;213;843.0
B;35;0.745
C;250;76.0
A;194;817.0
B;102;0.717
C;74;75.0
A;151;811.0
B;28;0.714
C;24;73.0
A;169;809.0
B;21;0.706
C;32;71.0
A;196;795.0
B;52;0.664
C;190;70.0
A;183;786.0
B;212;0.661
C;236;67.0
A;136;774.0
B;38;0.645
C;128;66.0
A;181;767.0
B;203;0.642
C;186;65.0
A;205;749.0
B;146;0.625
C;89;64.0
A;105;743.0
B;69;0.619
C;4;63.0
A;106;741.0
B;223;0.567
C;125;62.0
A;97;731.0
B;82;0.534
C;201;61.0
A;51;724.0
B;237;0.527
C;210;59.0
A;121;721.0
B;227;0.485
C;152;58.0
A;10;708.0
B;91;0.469
C;27;57.0
A;210;696.0
